Date and time (UTC),Rocket,Rocket,Flight number,Launch site,Launch site,LSP,LSP,Year
25 January 17:15 (UTC)[18],,Kosmos 2057 (Yantar-4K2)[18],,Low Earth,Reconnaissance,19 March 1990[19],Successful,1990
30 January 11:20 (UTC)[18],Tsyklon-3[18],Tsyklon-3[18],,Plesetsk[18] Site 32,Plesetsk[18] Site 32,,,1990
30 January 11:20 (UTC)[18],,,,,,,,1990
30 January 11:20 (UTC)[18],,Kosmos 2058 (Tselina-R)[18],,Low Earth,ELINT,In orbit,Operational,1990
February[edit],February[edit],February[edit],February[edit],February[edit],February[edit],February[edit],February[edit],1990
4 February 12:27:03 (UTC)[18],Long March 3[18],Long March 3[18],,Xichang[18] LC-1,Xichang[18] LC-1,,,1990
4 February 12:27:03 (UTC)[18],,,,,,,,1990
4 February 12:27:03 (UTC)[18],,DFH-2[18] A-4,,Geosynchronous,Communications,In orbit,Successful; retired in the early 1990s[20],1990
6 February 16:30,Kosmos-3M,Kosmos-3M,,Plesetsk Site 132/2,Plesetsk Site 132/2,,,1990
6 February 16:30,,,,,,,,1990
6 February 16:30,,Kosmos 2059 (Taifun-2),,Low Earth,Radar calibration,12 November,Successful,1990
7 February 01:33,H-I,H-I,,Tanegashima LA-N,Tanegashima LA-N,Mitsubishi,Mitsubishi,1990
7 February 01:33,,,,,,,,1990
7 February 01:33,,MOS 1B,NASDA,Low Earth,Earth observation,In orbit,Operational,1990
7 February 01:33,,DEBUT,,Low Earth,Technology demonstration,In orbit,Successful,1990
7 February 01:33,,JAS-1B,,Low Earth,Communications,In orbit,Operational,1990
11 February 06:16,Soyuz-U2,Soyuz-U2,,Baikonur Site 1/5,Baikonur Site 1/5,,,1990
11 February 06:16,,,,,,,,1990
11 February 06:16,,Soyuz TM-9,,Low Earth (Mir),Mir EO-9,9 August 07:33,Successful,1990
11 February 06:16,,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,1990
14 February 16:15:01 (UTC)[21][18],Delta II 6920-8[18],Delta II 6920-8[18],,Cape Canaveral LC-17B[18],Cape Canaveral LC-17B[18],McDonnell Douglas,McDonnell Douglas,1990
14 February 16:15:01 (UTC)[21][18],,,,,,,,1990
14 February 16:15:01 (UTC)[21][18],,LACE (USA-51)[18],DoD,Low Earth,Technology demonstration,24 May 2000[22],Successful,1990
14 February 16:15:01 (UTC)[21][18],,RME (USA-52)[18],DoD,Low Earth,Technology demonstration,24 May 1992[23],Successful,1990
14 February 16:15:01 (UTC)[21][18],,Maiden flight of Delta II 6920,Maiden flight of Delta II 6920,Maiden flight of Delta II 6920,Maiden flight of Delta II 6920,Maiden flight of Delta II 6920,Maiden flight of Delta II 6920,1990
